index,x,y,radius,angleStart,angleEnd,Rotation,starting_x,starting_y,ending_x,ending_y,tangent1_x,tangent1_y,tangent2_x,tangent2_y
A101,-2.056,0.358,0.617,-2.201,-0.947,CCW,-2.419,-0.141,-1.695,-0.143,-0.808,0.589,0.811,0.584
A1011,-2.056,0.358,0.617,-2.201,-1.759,CCW ,-2.419,-0.141,-2.171,-0.248,-0.808,0.589,0.982,-0.187
A1012,-2.056,0.358,0.617,-1.759,-1.397,CCW ,-2.171,-0.248,-1.949,-0.25,-0.982,0.187,0.985,0.173
A1013,-2.056,0.358,0.617,-1.397,-0.947,CCW ,-1.949,-0.25,-1.695,-0.143,-0.985,-0.173,0.811,0.584
A102,-1.297,-0.694,0.678,2.195,3.142,CW,-1.693,-0.144,-1.975,-0.694,0.811,0.584,0.0,-1.0
A1021,-1.297,-0.694,0.678,2.982,3.142,CW,-1.966,-0.586,-1.975,-0.694,0.159,0.987,0.0,-1.0
A1022,-1.297,-0.694,0.678,2.596,2.982,CW,-1.877,-0.342,-1.966,-0.586,0.519,0.855,-0.159,-0.987
A1023,-1.297,-0.694,0.678,2.195,2.596,CW,-1.693,-0.144,-1.877,-0.342,0.811,0.584,-0.519,-0.855
A103,-2.815,-0.694,0.678,0.0,0.947,CW,-2.137,-0.694,-2.419,-0.144,0.0,-1.0,-0.811,0.584
A1031,-2.815,-0.694,0.678,0.545,0.947,CW,-2.235,-0.343,-2.419,-0.144,0.518,-0.855,-0.811,0.584
A1032,-2.815,-0.694,0.678,0.155,0.545,CW,-2.145,-0.589,-2.235,-0.343,0.154,-0.988,-0.518,0.855
A1033,-2.815,-0.694,0.678,0.0,0.155,CW,-2.137,-0.694,-2.145,-0.589,0.0,-1.0,-0.154,0.988
A104,-2.056,0.358,0.466,1.881,6.133,CCW ,-2.198,0.802,-1.595,0.288,0.952,0.305,0.15,0.989
A105,-2.056,0.358,0.617,1.963,4.088,CCW ,-2.292,0.928,-2.417,-0.143,0.924,0.382,0.811,-0.584
A106,-0.771,-2.728,3.957,1.619,1.966,CCW,-0.962,1.224,-2.294,0.924,0.999,0.048,-0.923,-0.385
A1061,-0.771,-2.728,3.957,1.619,1.677,CCW ,-0.962,1.224,-1.19,1.207,0.999,0.048,-0.994,-0.106
A1062,-0.771,-2.728,3.957,1.677,1.872,CCW ,-1.19,1.207,-1.945,1.051,0.994,0.106,-0.955,-0.297
A1063,-0.771,-2.728,3.957,1.872,1.966,CCW ,-1.945,1.051,-2.294,0.924,0.955,0.297,-0.923,-0.385
A107,-0.771,-2.728,3.805,1.601,1.955,CCW ,-0.884,1.075,-2.198,0.799,1.0,0.03,-0.927,-0.375
A108,-2.056,0.358,0.617,-0.131,1.963,CCW ,-1.444,0.278,-2.292,0.928,-0.13,-0.991,-0.924,-0.382
A1081,-2.056,0.358,0.617,-0.131,0.395,CCW ,-1.444,0.278,-1.487,0.595,-0.13,-0.991,-0.385,0.923
A1082,-2.056,0.358,0.617,0.395,1.186,CCW ,-1.487,0.595,-1.824,0.93,0.385,-0.923,-0.927,0.375
A1083,-2.056,0.358,0.617,1.186,1.963,CCW ,-1.824,0.93,-2.292,0.928,0.927,-0.375,-0.924,-0.382
A109,-2.056,0.358,0.466,-0.151,1.881,CCW ,-1.595,0.288,-2.198,0.802,-0.15,-0.989,-0.952,-0.305
A110,2.143,-3.69,0.354,0.111,1.46,CCW ,2.495,-3.651,2.182,-3.338,0.11,-0.994,-0.994,0.11
A111,2.143,-3.69,0.192,0.197,1.373,CW,2.331,-3.652,2.181,-3.502,0.196,-0.981,-0.981,0.196
A112,-0.923,-3.184,0.152,-3.142,-1.571,CW,-1.075,-3.184,-0.923,-3.336,0.0,1.0,1.0,-0.0
A113,-1.388,-3.184,0.152,-1.571,0.0,CW,-1.388,-3.336,-1.236,-3.184,-1.0,0.0,-0.0,1.0
A114,-0.073,-2.111,0.304,-0.629,0.0,CCW ,0.173,-2.29,0.231,-2.111,-0.588,-0.809,-0.0,1.0
A115,1.081,-2.728,1.002,2.694,3.054,CW,0.178,-2.294,0.083,-2.64,0.433,0.902,-0.088,-0.996
A116,-1.075,-2.728,1.002,0.088,0.448,CW,-0.077,-2.64,-0.172,-2.294,0.088,-0.996,-0.433,0.902
A117,0.079,-2.111,0.304,-3.142,-2.513,CCW ,-0.225,-2.111,-0.167,-2.29,0.0,1.0,0.588,-0.809
A118,-0.651,0.181,0.588,0.219,1.56,CW,-0.077,0.309,-0.644,0.769,0.218,-0.976,-1.0,0.011
A119,0.646,0.187,0.582,1.574,2.93,CW,0.644,0.769,0.077,0.309,1.0,0.003,-0.21,-0.978
A120,2.262,0.617,0.617,-2.001,-1.681,CCW,2.005,0.056,2.194,0.004,-0.909,0.417,0.994,-0.11
A121,2.262,0.617,0.617,-1.681,-0.548,CCW,2.194,0.004,2.789,0.295,-0.994,0.11,0.521,0.853
A122,2.115,-0.206,0.224,0.0,1.211,CW,2.339,-0.206,2.194,0.004,0.0,-1.0,-0.936,0.352
